Year,Gen#,SL,Wt ,Mark,Finclip,Type,Scale,Date,Nest ,Site,Study,Notes
S18-,1,48.4,2.21,Lr1r2,yes,sn,yes,18-05-16,OSR,right,Std Assay #101,Susan's nest
S18-,2,51.6,2.71,Lr1r3,yes,sn,yes,18-05-16,OSR,right,Std Assay #102,Susan's nest
S18-,3,48.3,2.36,Lr1r4,yes,sn,yes,18-05-16,OSR,right,Mem Assay #1,Suzanne's nest
S18-,4,50.1,2.35,NA,no,fem,no,18-05-17,OSR,right,Mem Assay #2,Susan's nest
S18-,5,74.5,9.76,Ly1y2,yes,NM,yes,18-05-17,main,main,,
S18-,6,81.5,14.32,Ly1y3,yes,NM,yes,18-05-17,main,main,,
S18-,7,78.9,12.55,Lo1o2,yes,NM,yes,18-05-17,main,main,Mem Assay #40,
S18-,8,77.4,10.4,Lo1o3,yes,NM,yes,18-05-17,main,main,,
S18-,9,71.9,8.66,Lo1o4,yes,NM,yes,18-05-17,main,main,,
S18-,10,56.8,4.09,Lg1g2,yes,Sat,yes,18-05-17,main,main,,
S18-,11,76.7,10.14,Lo1o6,yes,NM,yes,18-05-17,main,main,,
S18-,12,76.8,10.05,Lo1o5,yes,NM,yes,18-05-17,main,main,"Mem Assay #33, #38",Remarked 5/28/18
S18-,13,75.5,10.31,Lo2o3,yes,NM,yes,18-05-17,main,main,,
S18-,14,75.8,9.18,Lo2o4,yes,NM,yes,18-05-17,main,main,Mem Assay #23,
S18-,15,57.3,3.56,Lg1g3,yes,Sat,yes,18-05-17,main,main,,
S18-,16,68.9,7.15,Lg1g4 oldLp2p4,yes,Sat,yes,18-05-17,main,main,Mem Assay #61,3-year-old Sat?? Lp2p4 old mark
S18-,17,59.9,5.38,Lg1g5,yes,Sat,yes,18-05-17,main,main,,
S18-,18,76.3,10.29,Lo2o5,yes,NM,yes,18-05-17,main,main,,
S18-,19,75,9.52,Lo2o6,yes,NM,yes,18-05-17,main,main,,
S18-,20,74.2,8.98,Lo3o4,yes,NM,yes,18-05-17,main,main,,
S18-,21,77.7,10.27,Lo3o5,yes,NM,yes,18-05-17,main,main,,
S18-,22,79.7,10.85,Lo3o6,yes,NM,yes,18-05-17,main,main,,
S18-,23,70.1,7.82,Lo4o5,yes,NM,yes,18-05-17,main,main,,Not the clearest NM
S18-,24,66.5,6.51,Lg1g6 oldLp3p?,yes,Sat,yes,18-05-17,main,main,,old Lp3p?
S18-,25,63.2,4.99,Lg2g3,yes,Sat,yes,18-05-17,main,main,Std Assay #141 (nest 44),
S18-,26,45.7,1.96,Lr1r4,yes,sn,yes,18-05-17,main,main,Mem Assay #3,
S18-,27,74.4,11.52,Ro1o2,yes,NM,yes,18-05-17,main,main,,
S18-,28,75.4,8.68,Lo4o6,yes,NM,yes,18-05-17,main,main,,
S18-,29,87.1,11.4,Lo5o6,yes,NM,yes,18-05-17,main,main,,
S18-,30,76.9,10.2,Ro1o3,yes,NM,yes,18-05-17,main,main,,
S18-,31,75.3,8.82,Ro1o4,yes,NM,yes,18-05-17,main,main,,
S18-,32,76.1,9.83,Ro1o5,yes,NM,yes,18-05-17,main,main,,
S18-,33,75.6,9.57,Ro1o6,yes,NM,yes,18-05-17,main,main,,
S18-,34,75.6,9.62,Ro2o3,yes,NM,yes,18-05-17,main,main,,
S18-,35,77.6,10.95,Ro2o4,yes,NM,yes,18-05-17,main,main,Std Assay #149 (5/31/18),
S18-,36,80.6,10.24,Ro2o5,yes,NM,yes,18-05-17,main,main,,
S18-,37,78.8,11.52,Lo2o6,yes,NM,yes,18-05-17,main,main,,
S18-,38,77.7,11.02,Ro3o4,yes,NM,yes,18-05-17,main,main,,
S18-,39,75.7,9.95,Ro3o5,yes,NM,yes,18-05-17,main,main,,
S18-,40,68.4,7.16,Lg2g4,yes,Sat,yes,18-05-17,main,main,"Std Assay #133, Mem Assay #50",Old Lp4p5 mark from 2017
S18-,41,59.8,4.83,Lg2g5,yes,Sat,yes,18-05-17,main,main,,
S18-,42,65.5,5.55,Lg2g6,yes,Sat,yes,18-05-17,main,main,,
S18-,43,62.2,4.37,Lg3g4,yes,Sat,yes,18-05-17,main,main,,
S18-,44,62,5.03,Lg3g5,yes,Sat,yes,18-05-17,main,main,Mem Assay #8,"Caught 5/19 for removal, released 5/20"
S18-,45,61.5,4.93,Lg3g6,yes,Sat,yes,18-05-17,main,main,,
S18-,46,68.9,6.64,Lg4g5,yes,Sat,yes,18-05-17,main,main,,
S18-,47,58.7,4.45,Lg4g6,yes,Sat,yes,18-05-17,main,main,,
S18-,48,50.5,2.85,Lg5g6,yes,Sat/sn,yes,18-05-17,main,main,,
S18-,49,59.2,4.84,Rg1g2,yes,Sat?,yes,18-05-17,main,main,,
S18-,50,75.3,9.74,Ro4o5,yes,NM,yes,18-05-18,OSR,right,,
S18-,51,73.9,9.74,Ro4o6,yes,NM,yes,18-05-18,OSR,right,,
S18-,52,72.4,9.03,Ro5o6,yes,NM,yes,18-05-18,OSR,right,,
S18-,53,70.9,8.22,Rg1g3,yes,Sat,yes,18-05-18,OSR,right,,
S18-,54,79,11.36,Ly1y4,yes,NM,yes,18-05-18,OSR,right,,
S18-,55,77.8,11.65,Ly1y5,yes,NM,yes,18-05-18,OSR,right,,
S18-,56,78,10.77,Ly1y6,yes,NM,yes,18-05-18,OSR,right,,
S18-,57,74.1,8.34,Ly2y3,yes,NM,yes,18-05-18,OSR,right,,
S18-,58,60.6,4.22,Rg1g4,yes,Sat?,yes,18-05-18,OSR,right,,Wannabe Sat
S18-,59,56.8,3.9,Rg1g5,yes,Sat?,yes,18-05-18,OSR,right,,Wannabe Sat
S18-,60,56.2,3.35,Rg1g6,yes,Sat?,yes,18-05-18,OSR,right,,
S18-,61,81.1,11.35,Ly2y4,yes,NM,yes,18-05-18,OSR,right,,
S18-,62,76.5,10.71,Ly2y5,yes,NM,yes,18-05-18,OSR,right,Std Assay #151,
S18-,63,74.6,9.14,Ly2y6,yes,NM,yes,18-05-18,OSR,right,,
S18-,64,76.5,11.1,Ly3y4,yes,NM,yes,18-05-18,OSR,right,Mem Assay #66 6/5/18,
S18-,65,78.9,11.44,Ly3y5,yes,NM,yes,18-05-18,OSR,right,,
S18-,66,56.5,3.8,Rg2g3,yes,Sat,yes,18-05-18,OSR,right,,
S18-,67,56.1,4.01,Rg2g4,yes,Sat,yes,18-05-18,OSR,right,,
S18-,68,59.3,5.03,Rg2g5,yes,Sat,yes,18-05-18,OSR,right,,
S18-,69,58.4,4.65,Rg2g6,yes,Sat,yes,18-05-18,OSR,right,,
S18-,70,48.1,2.12,Lr1r5,yes,sn,yes,18-05-18,OSR,right,Mem Assay #4,
S18-,71,54.8,3.55,Lr1r6,yes,sn,yes,18-05-18,OSR,right,Mem Assay #5,
S18-,72,51.7,2.61,Lr2r3,yes,sn,yes,18-05-18,OSR C,right,Std Assay #103,
S18-,73,76.4,9.31,Ly3y6,yes,NM,yes,18-05-18,OSR C,right,Std Assay #104,
S18-,74,51.8,2.85,Lp1p2,yes,fem,yes,18-05-18,OSR C,right,Std Assay #105,
S18-,75,64.1,4.9,Rg3g4,yes,Sat,yes,18-05-18,OSR,right,Std Assay #106,
S18-,76,75,8.62,Ly4y5,yes,NM,yes,18-05-19,OSR,right,,
S18-,77,77,10.24,Ly4y6,yes,NM,yes,18-05-19,OSR,right,,
S18-,78,77.5,10.74,Ly5y6,yes,NM,yes,18-05-19,OSR,right,,
S18-,79,62.9,5.89,Rg3g5,yes,Sat,yes,18-05-19,OSR,right,,mark accidentally used twice
S18-,80,61.9,5.54,Rg3g6,yes,Sat,yes,18-05-19,OSR,right,,
S18-,81,53.2,3.14,none,no,fem,no,18-05-19,23,main,Std Assay #107,into shoal tank
S18-,82,61.2,4.63,Rg3g5,yes,Sat,yes,18-05-19,23/62,main,Mem Assay #6,"released 16:15, mark accidentally used twice"
S18-,83,77.1,10.42,Ry1y2,yes,NM,yes,18-05-19,23,main,Mem Assay #7,released 16:15
S18-,84,44,1.63,Lr2r4,yes,sn,yes,18-05-19,23,main,Std Assay #108,
S18-,85,74.5,9.94,Ry1y3,yes,NM,yes,18-05-19,main/OSR,main_right,,
S18-,86,79.6,11.1,Ry1y4,yes,NM,yes,18-05-19,main/OSR,main_right,,
S18-,87,76.4,9.28,Ry1y5,yes,NM,yes,18-05-19,main/OSR,main_right,,
S18-,88,68.3,7.83,Rg4g5,yes,Sat,yes,18-05-19,main/OSR,main_right,,
S18-,89,63.6,5.34,Rg4g5g6,yes,Sat,yes,18-05-19,main/OSR,main_right,,lots of colour
S18-,90,64.2,6.21,Rg5g6,yes,Sat,yes,18-05-19,main/OSR,main_right,Std Assay #113,
S18-,91,62.5,5.27,Lpu1pu2,no,Sat,no,18-05-19,main/OSR,main_right,,no scale or clip
S18-,92,48,2.28,Lr2r5,yes,sn,yes,18-05-19,main/OSR,main_right,Std Assay #109,released
S18-,93,85.2,13.25,Ry1y6,yes,NM,yes,18-05-19,main/OSR,main_right,,parasite L2
S18-,94,77.4,10.58,Ry2y3,yes,NM,yes,18-05-19,main/OSR,main_right,,
S18-,95,77.5,11.9,Ry2y4,yes,NM,yes,18-05-19,main/OSR,main_right,,
S18-,96,73.3,8.52,Ry2y5,yes,NM,yes,18-05-19,main/OSR,main_right,,
S18-,97,62.2,5.53,Lpu1pu3,yes,Sat,yes,18-05-19,main/OSR,main_right,,
S18-,98,53.3,3,none,no,fem,no,18-05-19,main/OSR,main_right,Std Assay #110,
S18-,99,61.8,5.28,Lpu1pu4,yes,Sat,yes,18-05-19,main/OSR,main_right,,
S18-,100,53.3,3.06,Lpu1pu5,yes,Sat?,yes,18-05-19,main/OSR,main_right,,
S18-,101,59,4.25,Lpu1pu6,yes,Sat,yes,18-05-19,main/OSR,main_right,,
S18-,102,56.2,3.59,Lpu2pu3,yes,Sat,yes,18-05-19,main/OSR,main_right,,
S18-,103,55.6,3.5,Lpu2pu4,yes,Sat,yes,18-05-19,main/OSR,main_right,,
S18-,104,54.4,3.53,Lpu2pu5,yes,Sat?,yes,18-05-19,main/OSR,main_right,,wannabe sat
S18-,105,71.4,9.03,Ry2y6,yes,NM,yes,18-05-19,main/OSR,main_right,,
S18-,106,78.5,10.31,Ry3y4,yes,NM,yes,18-05-19,main/OSR,main_right,,
S18-,107,67.5,6.51,Lpu2pu6,yes,Sat,yes,18-05-19,main/OSR,main_right,,Maybe old mark Lr2?
S18-,108,56,NA,Lb1b2,yes,Sat,NA,18-05-20,37,main,Sat replace,"New Sat at 37, marked underwater"
S18-,109,75.5,9.86,Ry3y5,yes,NM,yes,18-05-20,main,main,,
S18-,110,65.7,5.84,Lpu3pu4,yes,Sat,yes,18-05-20,main,main,,
S18-,111,75.5,9.82,Ry3y6,yes,NM,yes,18-05-20,main,main,,"was seen @51, check vid"
S18-,112,78.3,10.52,Ry4y5,yes,NM,yes,18-05-20,main,main,,
S18-,113,75.3,9.97,Ry4y6,yes,NM,yes,18-05-20,main,main,Std Assay #158,
S18-,114,61,4.99,Lpu3pu5,yes,Sat,yes,18-05-20,main,main,Std Assay #157,remarked and released 6/3/18
S18-,115,57.5,3.52,Lpu3pu6,yes,Sat,yes,18-05-20,OSL Z,left,Mem Assay #9,
S18-,116,78,9.34,Ry5y6,yes,NM,yes,18-05-20,OSL Z,left,Mem Assay #10,
S18-,117,68.7,6.83,Lp1p3,yes,fem,yes,18-05-20,OSL Z,left,Mem Assay #11,
S18-,118,47.5,2.15,Lp1p4,yes,fem,yes,18-05-20,OSL Z,left,Std Assay #111,
S18-,119,46.7,1.86,Lr2r6,yes,sn,yes,18-05-20,main,main,Std Assay #112,
S18-,120,54.9,3.78,Lpy4pu5,yes,Sat,yes,18-05-20,main,main,,
S18-,121,80.3,12.92,Lr1r2,yes,NM,yes,18-05-20,main,main,,
S18-,122,48.4,2.19,Lp1p5,yes,fem,yes,18-05-20,main,main,Std Assay #114,
S18-,123,81,12.43,Lr1r3,yes,NM,yes,18-05-21,main,main,Mem Assay #51,
S18-,124,77.7,10.42,Lr1r4,yes,NM,yes,18-05-21,main,main,,
S18-,125,58.9,4.03,Lpu4pu6,yes,sat,yes,18-05-21,main,main,,
S18-,126,56.8,3.55,Lpu5pu6,yes,sat,yes,18-05-21,main,main,,
S18-,127,56.8,4.02,Rpu1pu2,yes,sat,yes,18-05-21,main,main,Mem Assay #39,
S18-,128,63.2,4.66,Rpu1pu3,yes,sat,yes,18-05-21,main,main,,
S18-,129,57.8,3.99,Rpu1pu4,yes ,sat,yes,18-05-21,OSL X,left,Mem Assay #12,
S18-,130,50,2.79,Rp2,no,fem,yes,18-05-21,OSL X,left,Mem Assay #13,into shoal tank
